chemical_formula,Tc,composition,elements,stoichiometry,Category,num_elements
La1.85Ba0.15Cu1O4,30.0,La1.85 Ba0.15 Cu1 O4,"[Element La, Element Ba, Element Cu, Element O]","{'La': 1.85, 'Ba': 0.15, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
La1.85Sr0.15Cu1O4,39.0,La1.85 Sr0.15 Cu1 O4,"[Element La, Element Sr, Element Cu, Element O]","{'La': 1.85, 'Sr': 0.15, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
Lu1.8Ba0.2Cu1O4,71.9,Lu1.8 Ba0.2 Cu1 O4,"[Element Lu, Element Ba, Element Cu, Element O]","{'Lu': 1.8, 'Ba': 0.2, 'Cu': 1.0, 'O': 4.0}",Cuprates,4
Sr0.2La1.8Cu0.95Ti0.05O4,21.0,Sr0.2 La1.8 Cu0.95 Ti0.05 O4,"[Element Sr, Element La, Element Cu, Element Ti, Element O]","{'Sr': 0.2, 'La': 1.8, 'Cu': 0.95, 'Ti': 0.05, 'O': 4.0}",Cuprates,5
Sr0.2La1.8Cu0.99V0.01O4,12.0,Sr0.2 La1.8 Cu0.99 V0.01 O4,"[Element Sr, Element La, Element Cu, Element V, Element O]","{'Sr': 0.2, 'La': 1.8, 'Cu': 0.99, 'V': 0.01, 'O': 4.0}",Cuprates,5
Sr0.2La1.8Cu0.99Cr0.01O4,22.0,Sr0.2 La1.8 Cu0.99 Cr0.01 O4,"[Element Sr, Element La, Element Cu, Element Cr, Element O]","{'Sr': 0.2, 'La': 1.8, 'Cu': 0.99, 'Cr': 0.01, 'O': 4.0}",Cuprates,5
Sr0.2La1.8Cu0.98Mn0.02O4,32.0,Sr0.2 La1.8 Cu0.98 Mn0.02 O4,"[Element Sr, Element La, Element Cu, Element Mn, Element O]","{'Sr': 0.2, 'La': 1.8, 'Cu': 0.98, 'Mn': 0.02, 'O': 4.0}",Cuprates,5
Sr0.2La1.8Cu0.95Fe0.05O4,30.0,Sr0.2 La1.8 Cu0.95 Fe0.05 O4,"[Element Sr, Element La, Element Cu, Element Fe, Element O]","{'Sr': 0.2, 'La': 1.8, 'Cu': 0.95, 'Fe': 0.05, 'O': 4.0}",Cuprates,5
Sr0.2La1.8Cu0.95Co0.05O4,16.0,Sr0.2 La1.8 Cu0.95 Co0.05 O4,"[Element Sr, Element La, Element Cu, Element Co, Element O]","{'Sr': 0.2, 'La': 1.8, 'Cu': 0.95, 'Co': 0.05, 'O': 4.0}",Cuprates,5
Sr0.2La1.8Cu0.95Ni0.05O4,21.0,Sr0.2 La1.8 Cu0.95 Ni0.05 O4,"[Element Sr, Element La, Element Cu, Element Ni, Element O]","{'Sr': 0.2, 'La': 1.8, 'Cu': 0.95, 'Ni': 0.05, 'O': 4.0}",Cuprates,5
Pr0.1La1.7Sr0.2Cu1O4,36.0,Pr0.1 La1.7 Sr0.2 Cu1 O4,"[Element Pr, Element La, Element Sr, Element Cu, Element O]","{'Pr': 0.1, 'La': 1.7, 'Sr': 0.2, 'Cu': 1.0, 'O': 4.0}",Cuprates,5
Sm0.1La1.7Sr0.2Cu1O4,32.0,Sm0.1 La1.7 Sr0.2 Cu1 O4,"[Element Sm, Element La, Element Sr, Element Cu, Element O]","{'Sm': 0.1, 'La': 1.7, 'Sr': 0.2, 'Cu': 1.0, 'O': 4.0}",Cuprates,5
La1.85Sr0.15Cu0.975Ni0.025O4,22.6,La1.85 Sr0.15 Cu0.975 Ni0.025 O4,"[Element La, Element Sr, Element Cu, Element Ni, Element O]","{'La': 1.85, 'Sr': 0.15, 'Cu': 0.975, 'Ni': 0.025, 'O': 4.0}",Cuprates,5
La1.85Sr0.15Cu0.95Ni0.05O4,4.2,La1.85 Sr0.15 Cu0.95 Ni0.05 O4,"[Element La, Element Sr, Element Cu, Element Ni, Element O]","{'La': 1.85, 'Sr': 0.15, 'Cu': 0.95, 'Ni': 0.05, 'O': 4.0}",Cuprates,5
Eu1Ba2Cu3O7.1,94.9,Eu1 Ba2 Cu3 O7.1,"[Element Eu, Element Ba, Element Cu, Element O]","{'Eu': 1.0, 'Ba': 2.0, 'Cu': 3.0, 'O': 7.1}",Cuprates,4
