1	4	6	67	85	92	198
data number	common formula of materials	chemical formula	common name of structure	unit of Tc	Tc (of this sample) recommended	journal
num	name	element	str3	utc	tc	journal
2	(Ba,La)2CuO4	Ba0.2La1.8Cu1O4-Y	T	K	29	Jpn.J.Appl.Phys., 26(1987)L223
3	(Ba,La,Ag)2CuO4	Ba0.1La1.9Ag0.1Cu0.9O4-Y	T	K	26	Jpn.J.Appl.Phys., 26(1987)L223
4	(Ba,La,)2CuO4	Ba0.1La1.9Cu1O4-Y	T	K	19	Jpn.J.Appl.Phys., 26(1987)L223
5	(Ba,La)2CuO4	Ba0.15La1.85Cu1O4-Y	T	K	22	Jpn.J.Appl.Phys., 26(1987)L223
6	(Ba,La)2CuO4	Ba0.3La1.7Cu1O4-Y	T	K	23	Jpn.J.Appl.Phys., 26(1987)L223
7	(Ba,La)2CuO4	Ba0.5La1.5Cu1O4-Y	T	K	23	Jpn.J.Appl.Phys., 26(1987)L223
8	(Ba,La)2CuO4	Ba1La1Cu1O4-Y	T	K	11	Jpn.J.Appl.Phys., 26(1987)L223
11	(La,Sr)2CuO4	Sr0.1La1.9Cu1O4-Y	T	K	33	Jpn.J.Appl.Phys., 26(1987)L223
12	(La,Sr)2CuO4	Sr0.15La1.85Cu1O4-Y	T	K	36	Jpn.J.Appl.Phys., 26(1987)L223
13	(La,Sr)2CuO4	Sr0.2La1.8Cu1O4-Y	T	K	31	Jpn.J.Appl.Phys., 26(1987)L223
14	(La,Sr)2CuO4	Sr0.3La1.7Cu1O4-Y	T	K	33	Jpn.J.Appl.Phys., 26(1987)L223
15	(La,Ba)2(Cu,Hg)O4	Ba0.3La1.7Hg0.3Cu0.7O4-Y	T	K	26	Jpn.J.Appl.Phys., 26(1987)L223
17	(La,Ba)2(Cu,Ag)O4	Ba0.1La1.9Ag0.05Cu0.95O4-Y	T	K	27	Jpn.J.Appl.Phys., 26(1987)L223
18	(La,Ba)2(Cu,Ag)O4	Ba0.1La1.9Ag0.1Cu0.9O4-Y	T	K	27	Jpn.J.Appl.Phys., 26(1987)L223
19	(La,Ba)2(Cu,Ag)O4	Ba0.1La1.9Ag0.25Cu0.75O4-Y	T	K	26	Jpn.J.Appl.Phys., 26(1987)L223
20	(La,Ba)2(Cu,Ag)O4	Ba0.1La1.9Ag0.5Cu0.5O4-Y	T	K	27	Jpn.J.Appl.Phys., 26(1987)L223
21	Y(Ba,Ca)2Cu3O7	Y1Ba1.5Ca0.5Cu3O7-Z	Y123	K	82	SOLID STATE COMMUN.72(1989)1203
22	(La,Ba)2CuO4	Ba0.15La1.85Cu1O4-Y	T	K	30	Jpn.J.Appl.Phys., 26(1987)L123
23	(La,Ba)2CuO4	La1.85Ba0.15Cu1O4	T	K	30	Jpn.J.Appl.Phys., 26(1987)L151
24	(La,Sr)2CuO4	La1.85Sr0.15Cu1O4	T	K	39	Jpn.J.Appl.Phys., 26(1987)L196
36	(La,Sr)2CuO4	La1.95Sr0.05Cu1O4-Y	T	K	14.8	Chem.Lett., No.3 (1987)547-550
37	(La,Sr)2CuO4	La1.9Sr0.1Cu1O4-Y	T	K	30	Chem.Lett., No.3 (1987)547-550
38	(La,Sr)2CuO4	La1.775Sr0.225Cu1O4-Y	T	K	35.5	Chem.Lett., No.3 (1987)547-550
39	(La,Sr)2CuO4	La1.75Sr0.25Cu1O4-Y	T	K	23.3	Chem.Lett., No.3 (1987)547-550
40	(La,Sr)2CuO4	La1.7Sr0.3Cu1O4-Y	T	K	18.2	Chem.Lett., No.3 (1987)547-550
41	(La,Sr)2CuO4	La1.65Sr0.35Cu1O4-Y	T	K	18.3	Chem.Lett., No.3 (1987)547-550
42	(La,Sr)2CuO4	La1.6Sr0.4Cu1O4-Y	T	K	18.3	Chem.Lett., No.3 (1987)547-550
43	(La,Sr)2CuO4	La1.825Sr0.175Cu1O4-Y	T	K	37.5	Chem.Lett., No.3 (1987)547-550
44	(La,Sr)2CuO4	La1.85Ca0.15Cu1O4-Y	T	K	20	Chem. Lett., 16(1987)429
47		Yb16Ba1Cu2Oz		K	76.9	Jpn.J.Appl.Phys., 26(1987)L325
48		Yb1.8Ba0.2Cu1Oz		K	65.3	Jpn.J.Appl.Phys., 26(1987)L325
49		Yb6Ba1Cu1Oz		K	78.6	Jpn.J.Appl.Phys., 26(1987)L325
50		Yb1.62La0.18Ba0.18Sr0.02Cu1Oz		K	79.3	Jpn.J.Appl.Phys., 26(1987)L325
51		Y0.4Ba0.6Cu1OX		K	90	JJAP.LETT.,26(1987)L608
52		Y0.4Ba0.6Cu1OX		K	90.5	JJAP.LETT.,26(1987)L601
53		Er0.5Ba0.5Cu1OX		K	92	JJAP.LETT.,26(1987)L601
54		Tm0.35Ba0.65Cu1OX		K	93.2	JJAP.LETT.,26(1987)L613
55		Tm0.3Ba0.7Cu1OX		K	94.4	JJAP.LETT.,26(1987)L613
56		Tm0.25Ba0.75Cu1OX		K	93.2	JJAP.LETT.,26(1987)L613
57		Tm0.2Ba0.8Cu1OX		K	80.5	JJAP.LETT.,26(1987)L613
58		La2Ba4Cu6O14+X		K	48	JJAP.LETT.,26(1987)L615
59	YBa2Cu3O7	Y1Ba2Cu3OX	Y123	K	90	JJAP.LETT.,26(1987)L619
60	Y(Y,Ba)2Cu3O7	Y1.6Ba2.4Cu3O10-X	Y123	K	90	JJAP.LETT.,26(1987)L624
61	Y(Y,Ba)2Cu3O7	Y1.2Ba1.8Cu2O7-X	Y123	K	92	JJAP.LETT.,26(1987)L624
62		Y0.8Ba1.2Cu1O4-X		K	80	JJAP.LETT.,26(1987)L624
65		Nd0.4Ba0.6Cu1OX		K	85	JJAP.LETT.,26(1987)L633
66		Eu0.4Ba0.6Cu1O3-X		K	8	JJAP.LETT.,26(1987)L633
67		Gd0.4Ba0.6Cu1O3-X		K	13	JJAP.LETT.,26(1987)L633
68		Dy0.4Ba0.6Cu1O3-X		K	91	JJAP.LETT.,26(1987)L633
69		Ho0.4Ba0.6Cu1O3-X		K	94	JJAP.LETT.,26(1987)L633
70		Er0.4Ba0.6Cu1O3-X		K	93	JJAP.LETT.,26(1987)L633
71		Tm0.4Ba0.6Cu1O3-X		K	93	JJAP.LETT.,26(1987)L633
72		Lu0.4Ba0.6Cu1O3-X		K	91	JJAP.LETT.,26(1987)L633
75		Nd2Ba3Cu5OX		K	18	JJAP.LETT.,26(1987)L642
76	SmBa2Cu3O7	Sm1Ba2Cu3OX	Y123	K	43	JJAP.LETT.,26(1987)L642
78		Gd2Ba3Cu5OX		K	40	JJAP.LETT.,26(1987)L642
82	YBa2Cu3O7	Y1Ba2Cu3OX	Y123	K	70	JJAP.LETT.,26(1987)L642
83	YBa2Cu3O7	Y1Ba2Cu3OX	Y123	K	90	JJAP.LETT.,26(1987)L645
85		Y0.3Ba0.7Cu1O3-X		K	95.5	JJAP.LETT.,26(1987)L649
86		Y0.8Ba1.2Cu1OX		K	94	JJAP.LETT.,26(1987)L657
87		Y0.6Ba0.9Cu1OX		K	88	JJAP.LETT.,26(1987)L657
88		Ba0.3La1.7Hg0.15Cu0.85O4-Y		K	28	Jpn.J.Appl.Phys., 26(1987)L223
89		Ba0.3La1.7Hg0.15Cu0.85O4-Y		K	28	Jpn.J.Appl.Phys., 26(1987)L223
93	(La,Sr)2CuO4	La1.85Sr0.15Cu1O4-Y	T	K	35.5	Chem.Lett., No.3 (1987)547-550
